brand,name,old_price,new_price,ml,concentration,item_rating,seller,seller_rating,num_seller_ratings
Lattafa,Sheikh Al Shuyukh  EDP 50ml,"AED, ,124.00","AED, ,33.20, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Classic Perfumes,Majestic Blanc EDP 100ml,31.00,21.00,wrangle from name,wrangle from name,,noon Bazaar,3.6,1.7K
NINA RICCI,Ricci Ricci EDP 80ml,230.00,148.55,wrangle from name,wrangle from name,,noon,4,7.7K
CHANEL,Sycomore EDP 200ml,"AED, ,1750.00","AED, ,1573.15, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Dior,Oud Ispahan EDP 125ml,"AED, ,820.40, ",,wrangle from name,wrangle from name,,Al Aflah Trading LLC,1.7,46
NINA RICCI,Premier Jour EDP 100ml,149.00,135.45,wrangle from name,wrangle from name,,noon,4,7.7K
Samawa,Halaf Al Hubb EDP 100ml,23.95,,wrangle from name,wrangle from name,,noon,4,48.9K
TOM FORD,Black Orchid EDP For Women 100ml,635.00,210.10,wrangle from name,wrangle from name,,Al Aflah Trading LLC,1.7,46
BVLGARI,Splendida EDP 100ml,"AED, ,302.00","AED, ,225.25, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
Mancera,Wave Musk EDP 60ml,"AED, ,260.00","AED, ,158.63, ",wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
MOSCHINO,Toy 2 EDP 50ml,218.00,130.05,wrangle from name,wrangle from name,,noon,4,7.7K
PACO RABANNE,1 Million Prive EDP 50ml,"AED, ,290.00","AED, ,152.20, ",wrangle from name,wrangle from name,,noon,4,7.7K
Dior,Ambre Nuit EDP 125ml,"AED, ,1146.00, ",,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
COACH,Floral EDP 90ml,"AED, ,157.55, ",,wrangle from name,wrangle from name,,noon,4,7.7K
BAYT AL SABOUN AL LOUBNANI,Crystal Perfume Fill 30g,"AED, ,90.00","AED, ,31.50, ",wrangle from name,wrangle from name,,Bait al Saboun al loubnani,3.7,50
Trish McEvoy,9 Blackberry And Vanilla Musk EDP 50ml,389.75,360.50,wrangle from name,wrangle from name,,Perfumery&Co,3.7,590
